numerochronique;datedefaillance;typedefaillance;nombreaputouchees;cause
1; 23/12/2034; DCC NL;2; FH
2; 21/12/2025; DCC NL;1; FH
2; 9/12/2029; DCC L;5; HW
3; 25/6/2020; DCC NL;3; FH
3; 9/12/2030; DCC L;5; FH
3; 11/4/2040; DCC NL;1; HW
4; 27/11/2026; DCC NL;3; HW
4; 4/6/2036; DCC L;5; HW
4; 22/11/2038; DCC NL;2; FH
5; 16/4/2016; DCC NL;3; HW
5; 16/5/2018; DCC NL;2; FH
5; 1/7/2023; DCC NL;5; HW
5; 2/8/2028; DCC L;5; FH
5; 6/4/2031; DCC L;5; FH
5; 25/10/2038; DCC L;4; FH
6; 19/5/2022; DCC NL;2; FH
7; 25/8/2018; DCC NL;2; FH
7; 1/4/2021; DCC L;4; FH
7; 6/9/2024; DCC NL;1; HW
7; 31/7/2039; DCC NL;2; FH
8; 6/6/2021; DCC L;8; SW
8; 10/8/2026; DCC L;8; FH
9; 29/4/2023; DCC NL;1; FH
9; 4/10/2023; DCC NL;1; FH
9; 30/5/2024; DCC NL;2; HW
9; 2/12/2024; DCC NL;3; FH
9; 14/4/2027; DCC NL;1; FH
9; 16/2/2030; DCC NL;1; FH
10; 7/1/2022; DCC NL;1; FH
10; 3/9/2025; DCC L;12; SW
10; 16/7/2037; DCC NL;2; HW
10; 3/3/2038; DCC L;5; HW
10; 15/3/2039; DCC NL;2; FH
10; 21/9/2039; DCC NL;1; FH
11; 6/10/2026; DCC L;5; HW
11; 29/9/2040; DCC NL;2; FH
13; 7/1/2016; DCC NL;2; FH
13; 29/1/2033; DCC NL;1; FH
13; 21/10/2033; DCC NL;1; HW
14; 26/6/2019; DCC NL;7; FH
14; 9/11/2022; DCC NL;2; FH
14; 15/6/2040; DCC NL;1; FH
15; 28/9/2025; DCC NL;3; FH
15; 18/8/2034; DCC NL;3; FH
17; 22/4/2034; DCC NL;2; FH
18; 19/7/2019; DCC NL;1; FH
18; 4/6/2023; DCC NL;1; FH
18; 15/7/2030; DCC L;5; FH
18; 28/8/2032; DCC NL;2; FH
19; 14/12/2025; DCC NL;2; FH
20; 20/2/2028; DCC NL;2; FH
20; 15/10/2038; DCC NL;2; FH
21; 9/3/2019; DCC NL;3; FH
22; 24/11/2024; DCC NL;1; FH
22; 11/3/2032; DCC L;8; SW
22; 28/11/2038; DCC NL;1; FH
23; 12/3/2025; DCC NL;2; HW
23; 27/6/2025; DCC L;5; FH
23; 1/6/2027; DCC NL;4; FH
23; 5/11/2035; DCC NL;2; HW
24; 11/5/2019; DCC NL;1; FH
24; 8/10/2019; DCC L;5; FH
24; 26/1/2020; DCC L;12; SW
24; 25/9/2027; DCC NL;1; FH
24; 6/3/2030; DCC NL;2; FH
24; 31/7/2038; DCC NL;1; FH
26; 14/6/2029; DCC L;4; FH
26; 4/4/2039; DCC NL;2; FH
27; 13/1/2020; DCC L;8; SW
27; 1/6/2023; DCC NL;3; HW
28; 12/1/2027; DCC NL;1; HW
28; 21/5/2034; DCC NL;1; FH
28; 26/4/2038; DCC NL;1; FH
28; 18/7/2038; DCC NL;2; FH
29; 23/2/2016; DCC NL;1; FH
29; 23/9/2038; DCC NL;3; HW
30; 14/10/2023; DCC NL;1; HW
30; 3/11/2029; DCC NL;2; FH
31; 1/2/2027; DCC NL;1; FH
33; 22/8/2017; DCC NL;6; FH
33; 27/5/2024; DCC L;5; FH
33; 13/8/2035; DCC NL;3; FH
33; 24/12/2040; DCC NL;1; FH
34; 3/11/2018; DCC L;8; SW
34; 28/5/2030; DCC L;5; FH
34; 10/4/2035; DCC NL;1; FH
35; 27/7/2018; DCC L;4; FH
35; 20/6/2022; DCC NL;2; FH
35; 17/10/2026; DCC NL;1; HW
35; 6/11/2038; DCC L;12; FH
35; 20/7/2040; DCC L;4; FH
36; 8/7/2029; DCC L;4; FH
37; 20/5/2022; DCC NL;3; FH
37; 4/10/2038; DCC NL;1; HW
37; 9/5/2039; DCC L;4; FH
39; 21/1/2032; DCC L;4; FH
39; 25/9/2039; DCC L;5; FH
40; 6/2/2021; DCC NL;1; FH
40; 30/6/2029; DCC NL;1; FH
40; 17/4/2032; DCC NL;3; FH
40; 25/8/2038; DCC NL;2; FH
41; 19/10/2025; DCC NL;2; FH
41; 2/10/2028; DCC NL;1; FH
41; 19/10/2038; DCC NL;4; FH
42; 18/7/2023; DCC NL;3; FH
42; 11/5/2036; DCC L;5; FH
42; 24/1/2039; DCC NL;2; FH
43; 28/3/2024; DCC NL;1; HW
43; 6/7/2025; DCC NL;1; FH
43; 3/8/2025; DCC NL;4; HW
44; 29/5/2025; DCC NL;2; FH
44; 28/2/2039; DCC L;4; FH
45; 14/7/2025; DCC L;4; FH
45; 15/8/2032; DCC NL;1; FH
46; 13/6/2022; DCC L;8; SW
46; 1/6/2038; DCC NL;1; FH
46; 11/9/2038; DCC NL;1; FH
46; 8/4/2040; DCC NL;4; FH
47; 1/1/2021; DCC NL;1; FH
47; 9/8/2039; DCC NL;1; FH
48; 16/5/2021; DCC NL;3; FH
48; 30/4/2027; DCC L;5; FH
48; 8/7/2038; DCC NL;3; FH
49; 29/11/2016; DCC L;5; FH
49; 9/7/2020; DCC L;5; FH
49; 20/3/2024; DCC NL;6; FH
49; 30/8/2025; DCC NL;1; FH
50; 5/8/2027; DCC L;4; FH
50; 25/8/2035; DCC NL;2; FH
