numerochronique;datedefaillance;typedefaillance;nombreaputouchees;cause
1; 6/7/2031; DCC NL;2; FH
1; 16/1/2035; DCC L;5; FH
2; 11/2/2021; DCC NL;1; FH
2; 13/7/2021; DCC NL;1; FH
2; 21/7/2022; DCC NL;3; FH
3; 22/6/2021; DCC L;5; FH
3; 29/5/2029; DCC NL;5; FH
3; 14/5/2038; DCC NL;2; FH
4; 10/11/2021; DCC NL;1; FH
4; 18/4/2025; DCC NL;2; HW
4; 2/2/2026; DCC NL;2; FH
4; 3/5/2037; DCC NL;3; HW
5; 21/5/2023; DCC NL;2; FH
5; 16/1/2024; DCC NL;3; FH
5; 26/10/2029; DCC L;4; FH
5; 3/2/2037; DCC NL;5; HW
6; 28/5/2024; DCC NL;2; FH
6; 23/11/2036; DCC NL;5; FH
6; 9/7/2039; DCC L;4; FH
7; 4/6/2033; DCC NL;1; FH
8; 14/11/2017; DCC NL;2; FH
8; 14/7/2020; DCC NL;1; FH
9; 12/11/2029; DCC NL;2; FH
9; 31/5/2037; DCC NL;1; FH
10; 8/8/2026; DCC NL;2; FH
10; 24/1/2033; DCC L;12; SW
10; 16/4/2035; DCC NL;1; FH
11; 9/6/2019; DCC NL;2; HW
11; 19/2/2022; DCC NL;1; FH
11; 22/10/2022; DCC L;5; FH
11; 28/11/2025; DCC L;12; FH
11; 23/10/2037; DCC L;5; HW
12; 29/11/2036; DCC NL;2; FH
13; 14/7/2022; DCC NL;5; HW
13; 18/9/2024; DCC L;4; FH
13; 21/11/2026; DCC L;4; FH
14; 6/7/2019; DCC NL;2; FH
14; 23/1/2021; DCC L;4; FH
14; 26/3/2021; DCC NL;1; FH
14; 22/12/2023; DCC NL;3; FH
15; 12/11/2026; DCC NL;6; HW
15; 29/8/2029; DCC NL;1; FH
16; 5/8/2026; DCC L;5; FH
16; 8/6/2028; DCC NL;2; FH
16; 17/6/2031; DCC NL;1; HW
17; 15/8/2016; DCC NL;2; FH
17; 20/6/2022; DCC NL;3; FH
17; 20/11/2030; DCC NL;1; FH
20; 1/9/2016; DCC NL;5; FH
20; 31/8/2027; DCC NL;2; FH
20; 8/3/2037; DCC NL;1; FH
20; 30/4/2037; DCC NL;3; FH
21; 3/5/2017; DCC NL;2; FH
21; 14/5/2017; DCC L;5; FH
21; 14/7/2026; DCC NL;3; FH
21; 26/7/2029; DCC NL;1; FH
21; 5/6/2031; DCC L;8; SW
21; 31/7/2036; DCC NL;2; FH
21; 26/3/2039; DCC L;5; FH
22; 2/8/2026; DCC NL;2; FH
22; 3/6/2028; DCC NL;5; HW
22; 15/11/2033; DCC NL;4; FH
22; 10/12/2034; DCC L;5; HW
23; 10/10/2019; DCC NL;1; FH
23; 6/12/2021; DCC L;5; FH
23; 1/4/2032; DCC NL;5; HW
23; 27/1/2033; DCC NL;2; FH
23; 18/11/2037; DCC L;4; FH
23; 19/11/2040; DCC NL;1; HW
24; 12/10/2025; DCC NL;3; FH
24; 15/3/2032; DCC NL;1; FH
25; 4/5/2022; DCC NL;3; FH
25; 1/9/2040; DCC NL;3; FH
26; 4/1/2024; DCC NL;4; FH
26; 23/8/2026; DCC L;4; FH
26; 29/11/2029; DCC L;5; FH
26; 4/7/2034; DCC NL;2; FH
27; 30/1/2019; DCC L;8; SW
27; 18/4/2019; DCC NL;1; FH
27; 24/8/2019; DCC NL;1; FH
27; 11/4/2025; DCC NL;1; FH
27; 12/2/2032; DCC NL;1; FH
27; 21/3/2034; DCC L;8; SW
27; 16/2/2038; DCC NL;3; FH
28; 23/1/2016; DCC NL;2; FH
28; 7/10/2031; DCC NL;1; FH
28; 4/4/2035; DCC NL;2; FH
29; 17/1/2017; DCC NL;2; FH
29; 7/3/2023; DCC L;5; HW
29; 29/12/2023; DCC NL;2; HW
29; 12/9/2031; DCC NL;1; FH
29; 23/5/2035; DCC L;12; SW
30; 7/5/2028; DCC NL;5; FH
30; 8/3/2032; DCC NL;1; HW
30; 26/4/2039; DCC NL;2; FH
31; 5/9/2021; DCC NL;1; FH
31; 5/2/2026; DCC NL;1; FH
32; 18/10/2022; DCC NL;5; FH
32; 23/7/2028; DCC NL;2; FH
33; 9/2/2021; DCC NL;2; FH
33; 20/4/2027; DCC NL;1; FH
33; 26/6/2040; DCC L;4; FH
34; 19/6/2024; DCC L;5; FH
34; 18/1/2036; DCC L;5; HW
35; 5/7/2019; DCC NL;4; FH
35; 4/6/2027; DCC NL;1; FH
35; 6/9/2027; DCC NL;1; FH
35; 3/12/2031; DCC NL;4; FH
38; 28/12/2017; DCC NL;3; HW
38; 6/7/2022; DCC NL;1; FH
38; 15/4/2028; DCC NL;3; FH
38; 14/8/2031; DCC NL;2; FH
38; 19/10/2032; DCC NL;2; FH
38; 24/4/2035; DCC NL;1; FH
39; 23/10/2023; DCC NL;2; FH
39; 30/11/2034; DCC NL;3; FH
40; 28/9/2023; DCC L;5; HW
40; 3/7/2030; DCC L;5; FH
40; 9/6/2031; DCC L;4; FH
41; 13/3/2020; DCC NL;3; HW
41; 23/1/2033; DCC L;5; FH
41; 26/6/2033; DCC NL;1; FH
42; 23/1/2018; DCC NL;3; FH
42; 28/9/2018; DCC NL;3; FH
42; 23/5/2024; DCC NL;1; FH
42; 3/8/2027; DCC NL;3; FH
43; 22/7/2021; DCC NL;2; FH
43; 2/6/2023; DCC NL;3; HW
43; 4/6/2026; DCC NL;1; FH
