numerochronique;datedefaillance;typedefaillance;nombreaputouchees;cause
1; 31/7/2017; DCC NL;2;FH
1; 30/7/2024; DCC NL;4;FH
1; 26/12/2037; Ind;1;NI
2; 1/4/2017; DCC NL;5;FH
2; 31/3/2021; DCC NL;1;FH
2; 29/7/2027; DCC NL;1;FH
2; 29/10/2028; DCC NL;2;FH
2; 24/2/2037; DCC NL;2;NI
2; 24/2/2040; Ind;1;HW
3; 8/1/2019; DCC NL;2;NI
3; 22/9/2021; DCC L;5;HW
3; 26/11/2034; DCC L;12;HW
3; 27/10/2035; Ind;1;HW
4; 31/12/2020; DCC NL;3;FH
4; 29/4/2026; DCC NL;2;SW
4; 29/10/2026; DCC NL;2;NI
4; 27/4/2034; Ind;1;HW
4; 26/8/2038; Ind;1;HW
5; 27/7/2033; Ind;1;NI
5; 26/4/2038; Ind;1;NI
5; 25/11/2038; Ind;1;NI
5; 26/6/2040; Ind;1;HW
5; 25/9/2040; DCC NL;3;FH
6; 28/5/2025; DCC NL;7;NI
6; 26/4/2037; Ind;1;NI
6; 29/1/2039; Ind;1;NI
6; 26/12/2039; Ind;1;HW
7; 28/2/2024; DCC NL;2;FH
7; 7/11/2029; DCC L;8;NI
7; 26/11/2035; DCC NL;4;FH
7; 27/7/2036; Ind;1;NI
7; 26/4/2038; Ind;1;NI
7; 24/2/2039; DCC NL;2;FH
7; 26/10/2039; DCC L;8;FH
7; 26/6/2040; Ind;1;HW
8; 15/7/2018; DCC L;12;NI
8; 30/8/2021; DCC NL;3;FH
8; 30/8/2022; DCC NL;2;FH
8; 30/3/2025; DCC NL;3;FH
8; 28/8/2029; DCC L;4;FH
8; 25/11/2039; Ind;1;HW
8; 26/6/2040; Ind;1;HW
9; 28/11/2027; DCC L;5;NI
9; 28/12/2029; Ind;1;HW
9; 27/1/2030; DCC NL;4;FH
9; 25/11/2037; Ind;1;HW
10; 15/6/2019; DCC L;12;SW
10; 30/3/2025; DCC NL;2;FH
10; 26/1/2033; DCC NL;3;FH
10; 27/8/2036; DCC NL;5;FH
10; 25/1/2040; Ind;1;HW
11; 25/9/2037; DCC NL;6;FH
11; 26/8/2038; Ind;1;HW
11; 25/9/2039; Ind;1;HW
11; 26/8/2040; Ind;1;NI
12; 23/7/2025; DCC NL;4;HW
12; 29/4/2026; Ind;1;NI
12; 28/10/2029; DCC NL;1;FH
12; 26/8/2037; DCC NL;3;FH
13; 30/12/2021; DCC NL;2;FH
13; 26/4/2037; DCC NL;1;FH
13; 25/9/2038; Ind;1;NI
14; 29/11/2022; DCC NL;5;FH
14; 29/7/2028; DCC NL;2;FH
14; 28/7/2029; DCC NL;2;FH
14; 27/9/2030; DCC NL;1;FH
14; 20/11/2034; DCC L;5;HW
15; 28/7/2029; DCC NL;2;FH
15; 28/3/2036; DCC NL;1;FH
15; 27/4/2036; Ind;1;HW
15; 25/9/2038; Ind;1;HW
15; 27/5/2040; Ind;1;HW
16; 30/4/2024; Ind;1;NI
16; 27/10/2033; Ind;1;NI
16; 24/2/2040; DCC NL;2;NI
17; 1/5/2018; DCC NL;3;SW
17; 31/12/2019; DCC NL;1;FH
17; 29/3/2029; DCC NL;2;FH
17; 28/10/2031; DCC NL;2;FH
17; 29/3/2032; DCC NL;3;FH
17; 27/7/2036; DCC NL;3;HW
17; 24/2/2037; DCC NL;2;FH
17; 25/9/2037; DCC NL;1;FH
17; 26/4/2039; DCC NL;4;HW
17; 26/12/2039; Ind;1;HW
18; 30/8/2022; DCC NL;3;FH
18; 29/7/2027; DCC NL;1;SW
18; 25/1/2038; Ind;1;HW
19; 2/7/2028; DCC NL;2;HW
19; 27/4/2035; DCC NL;4;FH
19; 27/7/2036; DCC L;8;FH
19; 25/1/2038; Ind;1;HW
20; 1/10/2016; DCC NL;2;FH
20; 30/1/2018; DCC NL;1;FH
20; 28/10/2029; DCC NL;4;FH
20; 24/2/2038; Ind;1;NI
21; 28/2/2022; DCC L;8;NI
21; 29/9/2022; DCC NL;1;FH
21; 26/1/2035; DCC NL;1;FH
21; 27/10/2036; DCC L;5;FH
21; 26/6/2037; DCC NL;3;NI
21; 27/3/2039; DCC NL;4;FH
21; 26/4/2039; Ind;1;HW
21; 26/8/2040; Ind;1;NI
22; 27/10/2033; Ind;1;HW
22; 24/2/2038; DCC NL;5;FH
22; 26/8/2039; Ind;1;HW
23; 31/7/2018; DCC NL;4;FH
23; 26/6/2040; DCC NL;2;HW
24; 30/8/2021; DCC NL;3;FH
24; 26/10/2039; Ind;1;NI
25; 16/7/2025; DCC NL;2;HW
26; 30/4/2029; DCC NL;3;HW
26; 26/1/2033; Ind;1;HW
26; 25/9/2038; DCC NL;2;FH
27; 28/3/2030; DCC NL;2;HW
27; 28/7/2030; Ind;1;NI
27; 27/10/2034; Ind;1;HW
27; 25/9/2039; Ind;1;HW
27; 6/4/2040; Ind;1;HW
28; 9/3/2018; DCC L;5;HW
28; 31/8/2020; DCC L;5;NI
28; 29/4/2025; Ind;1;NI
28; 28/12/2029; DCC NL;1;FH
28; 26/9/2035; DCC L;8;FH
28; 27/3/2039; Ind;1;NI
29; 1/6/2018; DCC NL;2;NI
29; 29/11/2021; DCC NL;2;FH
29; 2/4/2027; DCC L;5;NI
