numerochronique;datedefaillance;typedefaillance;nombreaputouchees;cause
1; 26/10/2038; DCC L;5;HW
1; 27/5/2039; Ind;1;HW
1; 26/4/2040; DCC NL;2;NI
2; 2/6/2016; DCC NL;2;SW
2; 22/10/2019; DCC L;5;HW
2; 29/1/2021; DCC NL;3;HW
2; 28/11/2025; DCC L;5;FH
2; 28/10/2031; Ind;1;NI
3; 7/9/2021; Ind;1;HW
3; 28/10/2032; DCC NL;1;FH
3; 27/4/2033; DCC NL;2;SW
3; 25/2/2035; Ind;1;NI
3; 27/5/2037; Ind;1;NI
3; 25/1/2040; Ind;1;NI
3; 27/5/2040; Ind;1;HW
4; 30/6/2022; DCC NL;1;FH
4; 26/6/2037; DCC NL;2;FH
5; 1/5/2018; DCC NL;3;FH
5; 27/9/2032; DCC NL;3;NI
5; 27/12/2033; DCC NL;2;NI
6; 30/5/2026; DCC NL;7;FH
6; 30/5/2026; Ind;1;NI
6; 26/10/2037; DCC NL;2;FH
7; 30/10/2021; DCC NL;2;FH
7; 30/4/2024; DCC NL;4;FH
7; 28/8/2030; DCC NL;4;HW
7; 26/9/2034; Ind;1;HW
7; 20/7/2035; Ind;1;HW
8; 30/9/2018; DCC NL;2;HW
8; 26/7/2039; Ind;1;NI
9; 3/7/2016; DCC NL;4;HW
9; 1/5/2020; DCC L;4;NI
9; 28/7/2029; DCC L;5;NI
9; 27/12/2035; Ind;1;HW
9; 26/11/2036; Ind;1;HW
10; 27/12/2033; DCC NL;1;FH
10; 28/5/2035; DCC NL;2;NI
10; 28/5/2036; Ind;1;HW
10; 27/10/2036; Ind;1;HW
10; 26/6/2038; Ind;1;HW
11; 29/1/2023; DCC NL;1;FH
11; 27/6/2034; DCC NL;4;SW
11; 28/5/2035; Ind;1;HW
11; 26/7/2038; DCC NL;1;SW
11; 27/3/2040; DCC NL;2;NI
12; 30/7/2023; DCC NL;4;SW
12; 27/11/2031; DCC NL;4;FH
13; 11/11/2023; Ind;1;HW
13; 30/5/2028; DCC L;12;SW
13; 11/12/2032; Ind;1;NI
13; 27/10/2033; DCC NL;2;NI
13; 27/7/2034; Ind;1;NI
14; 1/5/2019; Ind;1;HW
14; 26/11/2036; DCC NL;2;NI
14; 26/10/2037; Ind;1;HW
14; 24/2/2039; Ind;1;NI
15; 17/4/2017; DCC L;5;HW
15; 28/7/2031; DCC L;5;FH
15; 26/1/2036; DCC L;4;FH
15; 26/6/2038; Ind;1;NI
15; 26/10/2038; Ind;1;HW
15; 26/4/2040; Ind;1;HW
16; 27/2/2028; DCC L;8;FH
16; 25/2/2033; Ind;1;HW
16; 8/8/2033; DCC L;5;HW
16; 24/2/2038; DCC NL;3;FH
16; 25/1/2040; Ind;1;HW
17; 26/4/2031; DCC L;8;SW
17; 30/3/2032; DCC L;12;NI
17; 28/5/2034; Ind;1;NI
17; 26/6/2037; DCC L;4;FH
17; 27/3/2039; DCC NL;2;HW
18; 30/12/2021; DCC L;5;FH
18; 25/2/2034; Ind;1;HW
18; 29/11/2039; DCC NL;4;HW
